,Unnamed: 0,file,internet,leur,present,75015,inform,abon,cook,societ,donne,boissieu,san,lien,suiv,fair,ordin,legal,client,tous,etre,lor,ver,cet,ains,titr,public,permet,engag,reserv,respect,propriet,not,general,realis,objet,navig,offre
34,34,0034.txt,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1363636363636363,0.1818181818181818,0.1818181818181818,0.1363636363636363,0.2272727272727272,0.1818181818181818,0.2272727272727272,0.1363636363636363,0.1818181818181818,0.1363636363636363,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.0,0.0909090909090909,0.0,0.0,0.0909090909090909,0.0,0.1363636363636363
35,35,0035.txt,0.0869565217391304,0.1304347826086956,0.0869565217391304,0.0869565217391304,0.217391304347826,0.0869565217391304,0.1739130434782608,0.0869565217391304,0.217391304347826,0.1739130434782608,0.0869565217391304,0.1739130434782608,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0869565217391304,0.1304347826086956,0.0,0.0869565217391304,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.1304347826086956,0.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0,0.0869565217391304,0.0,0.0,0.1304347826086956
36,36,0036.txt,0.16,0.16,0.08,0.12,0.08,0.12,0.0,0.16,0.08,0.08,0.12,0.08,0.12,0.16,0.12,0.16,0.12,0.12,0.0,0.08,0.12,0.12,0.12,0.08,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.08,0.08,0.12
37,37,0037.txt,0.2142857142857142,0.1428571428571428,0.1071428571428571,0.1428571428571428,0.0,0.1071428571428571,0.1785714285714285,0.1428571428571428,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1428571428571428,0.1785714285714285,0.0,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.1071428571428571,0.0,0.0,0.0,0.1071428571428571,0.1071428571428571,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,0038.txt,0.2272727272727272,0.0909090909090909,0.1363636363636363,0.2272727272727272,0.1363636363636363,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.0909090909090909,0.1818181818181818,0.1363636363636363,0.1363636363636363,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.1363636363636363,0.0,0.0,0.0,0.1363636363636363,0.1363636363636363,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.1363636363636363,0.0,0.0909090909090909,0.0,0.0909090909090909,0.1363636363636363,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909
39,39,0039.txt,0.0833333333333333,0.1666666666666666,0.125,0.125,0.0833333333333333,0.2083333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.125,0.125,0.2083333333333333,0.0833333333333333,0.125,0.1666666666666666,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0833333333333333,0.125,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333
40,40,0040.txt,0.1578947368421052,0.2105263157894736,0.1578947368421052,0.1052631578947368,0.1052631578947368,0.2105263157894736,0.1052631578947368,0.2105263157894736,0.1578947368421052,0.2105263157894736,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1052631578947368,0.1578947368421052,0.2105263157894736,0.1578947368421052,0.1578947368421052,0.0,0.1578947368421052,0.1578947368421052,0.0,0.1052631578947368,0.0,0.1578947368421052,0.1052631578947368,0.1052631578947368,0.1578947368421052,0.1052631578947368,0.0,0.0,0.0,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368
41,41,0041.txt,0.1,0.1666666666666666,0.1333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.1,0.1,0.1333333333333333,0.1333333333333333,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
42,42,0042.txt,0.0,0.16,0.16,0.16,0.08,0.16,0.16,0.08,0.12,0.2,0.16,0.12,0.16,0.12,0.12,0.12,0.08,0.08,0.08,0.12,0.12,0.12,0.0,0.08,0.12,0.12,0.08,0.08,0.12,0.0,0.12,0.08,0.08,0.0,0.12,0.12
43,43,0043.txt,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1153846153846153,0.1538461538461538,0.1153846153846153,0.0,0.1538461538461538,0.0769230769230769,0.1923076923076923,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0,0.1153846153846153,0.1153846153846153,0.0769230769230769,0.0,0.1153846153846153,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.1153846153846153,0.0,0.0,0.0,0.0769230769230769,0.0,0.1153846153846153
